"Code postal","Localité","Sous-commune","Commune Principale","Province"
3840,"Kolmont","Oui","Borgloon","Limbourg"
3840,"Kuttekoven","Oui","Borgloon","Limbourg"
3840,"Rijkel","Oui","Borgloon","Limbourg"
3840,"Voort","Oui","Borgloon","Limbourg"
2880,"Bornem","Non","Bornem","Anvers"
2880,"Hingene","Oui","Bornem","Anvers"
2880,"Mariekerke","Oui","Bornem","Anvers"
2880,"Weert","Oui","Bornem","Anvers"
2150,"Borsbeek","Non","Borsbeek","Anvers"
6830,"Bouillon","Non","Bouillon","Luxembourg"
6830,"Les Hayons","Oui","Bouillon","Luxembourg"
6830,"Poupehan","Oui","Bouillon","Luxembourg"
6830,"Rochehaut","Oui","Bouillon","Luxembourg"
6831,"Noirfontaine","Oui","Bouillon","Luxembourg"
6832,"Sensenruth","Oui","Bouillon","Luxembourg"
6833,"Ucimont","Oui","Bouillon","Luxembourg"
6833,"Vivy","Oui","Bouillon","Luxembourg"
6834,"Bellevaux","Oui","Bouillon","Luxembourg"
6836,"Dohan","Oui","Bouillon","Luxembourg"
6838,"Corbion","Oui","Bouillon","Luxembourg"
7300,"Boussu","Non","Boussu","Hainaut"
7301,"Hornu","Oui","Boussu","Hainaut"
3370,"Boutersem","Non","Boutersem","Brabant Flamand"
3370,"Kerkom","Oui","Boutersem","Brabant Flamand"
3370,"Neervelp","Oui","Boutersem","Brabant Flamand"
3370,"Roosbeek","Oui","Boutersem","Brabant Flamand"
3370,"Vertrijk","Oui","Boutersem","Brabant Flamand"
3370,"Willebringen","Oui","Boutersem","Brabant Flamand"
1420,"Braine-l'Alleud","Non","Braine-L'alleud","Brabant Wallon"
1421,"Ophain-Bois-Seigneur-Isaac","Oui","Braine-L'alleud","Brabant Wallon"
1428,"Lillois-Witterzée","Oui","Braine-L'alleud","Brabant Wallon"
1440,"Braine-le-Château","Non","Braine-Le-Château","Brabant Wallon"
1440,"Wauthier-Braine","Oui","Braine-Le-Château","Brabant Wallon"
7090,"Braine-le-Comte","Non","Braine-Le-Comte","Hainaut"
7090,"Hennuyères","Oui","Braine-Le-Comte","Hainaut"
7090,"Henripont","Oui","Braine-Le-Comte","Hainaut"
7090,"Petit-Rulx-lez-Braine","Oui","Braine-Le-Comte","Hainaut"
7090,"Ronquières","Oui","Braine-Le-Comte","Hainaut"
7090,"Steenkerque","Oui","Braine-Le-Comte","Hainaut"
4260,"Braives","Non","Braives","Liege"
4260,"Avennes","Oui","Braives","Liege"
4260,"Ciplet","Oui","Braives","Liege"
4260,"Fallais","Oui","Braives","Liege"
4260,"Fumal","Oui","Braives","Liege"
4260,"Ville-en-Hesbaye","Oui","Braives","Liege"
4261,"Latinne","Oui","Braives","Liege"
4263,"Tourinne","Oui","Braives","Liege"
9660,"Brakel","Non","Brakel","Flandre Orientale"
9660,"Elst","Oui","Brakel","Flandre Orientale"
9660,"Everbeek","Oui","Brakel","Flandre Orientale"
9660,"Michelbeke","Oui","Brakel","Flandre Orientale"
9660,"Nederbrakel","Oui","Brakel","Flandre Orientale"
9660,"Opbrakel","Oui","Brakel","Flandre Orientale"
9660,"Sint-Maria-Oudenhove","Oui","Brakel","Flandre Orientale"
9660,"Zegelsem","Oui","Brakel","Flandre Orientale"
9661,"Parike","Oui","Brakel","Flandre Orientale"
2930,"Brasschaat","Non","Brasschaat","Anvers"
2960,"Brecht","Non","Brecht","Anvers"
2960,"Sint-Job-in-'t-Goor","Oui","Brecht","Anvers"
2960,"Sint-Lenaarts","Oui","Brecht","Anvers"
8450,"Bredene","Non","Bredene","Flandre Occidentale"
3960,"Bree","Non","Bree","Limbourg"
3960,"Beek","Oui","Bree","Limbourg"
3960,"Gerdingen","Oui","Bree","Limbourg"
3960,"Opitter","Oui","Bree","Limbourg"
3960,"Tongerlo","Oui","Bree","Limbourg"
1931,"Brucargo",,"Brucargo",
7940,"Brugelette","Non","Brugelette","Hainaut"
7940,"Cambron-Casteau","Oui","Brugelette","Hainaut"
7941,"Attre","Oui","Brugelette","Hainaut"
7942,"Mévergnies-lez-Lens","Oui","Brugelette","Hainaut"
7943,"Gages","Oui","Brugelette","Hainaut"
8000,"Brugge","Non","Brugge","Flandre Occidentale"
8000,"Koolkerke","Oui","Brugge","Flandre Occidentale"
8200,"Sint-Andries","Oui","Brugge","Flandre Occidentale"
8200,"Sint-Michiels","Oui","Brugge","Flandre Occidentale"
8310,"Assebroek","Oui","Brugge","Flandre Occidentale"
8310,"Sint-Kruis","Oui","Brugge","Flandre Occidentale"
8380,"Dudzele","Oui","Brugge","Flandre Occidentale"
8380,"Lissewege","Oui","Brugge","Flandre Occidentale"
8380,"Zeebrugge","Oui","Brugge","Flandre Occidentale"
7620,"Bléharies","Oui","Brunehaut","Hainaut"
7620,"Guignies","Oui","Brunehaut","Hainaut"
7620,"Hollain","Oui","Brunehaut","Hainaut"
7620,"Jollain-Merlin","Oui","Brunehaut","Hainaut"
7620,"Wez-Velvain","Oui","Brunehaut","Hainaut"
7621,"Lesdain","Oui","Brunehaut","Hainaut"
7622,"Laplaigne","Oui","Brunehaut","Hainaut"
7623,"Rongy","Oui","Brunehaut","Hainaut"
7624,"Howardries","Oui","Brunehaut","Hainaut"
1000,"Bruxelles","Non","Bruxelles","Bruxelles"
1020,"Laeken","Oui","Bruxelles","Bruxelles"
1120,"Neder-Over-Heembeek","Oui","Bruxelles","Bruxelles"
1130,"Haren","Oui","Bruxelles","Bruxelles"
1099,"Bruxelles X",,"Bruxelles X",
9255,"Buggenhout","Non","Buggenhout","Flandre Orientale"
9255,"Opdorp","Oui","Buggenhout","Flandre Orientale"
4760,"Bullange","Non","Bullange","Liege"
4760,"Manderfeld","Oui","Bullange","Liege"
4761,"Rocherath","Oui","Bullange","Liege"
4210,"Burdinne","Non","Burdinne","Liege"
4210,"Hannêche","Oui","Burdinne","Liege"
4210,"Lamontzée","Oui","Burdinne","Liege"
4210,"Marneffe","Oui","Burdinne","Liege"
4210,"Oteppe","Oui","Burdinne","Liege"
4790,"Reuland","Oui","Burg-Reuland","Liege"
4791,"Thommen","Oui","Burg-Reuland","Liege"
4750,"Butgenbach","Non","Butgenbach","Liege"
4750,"Elsenborn","Oui","Butgenbach","Liege"
1804,"Cargovil",,"Cargovil",
7760,"Celles","Non","Celles","Hainaut"
7760,"Escanaffles","Oui","Celles","Hainaut"
7760,"Molenbaix","Oui","Celles","Hainaut"
7760,"Popuelles","Oui","Celles","Hainaut"
7760,"Pottes","Oui","Celles","Hainaut"
7760,"Velaines","Oui","Celles","Hainaut"
5630,"Cerfontaine","Non","Cerfontaine","Namur"
5630,"Daussois","Oui","Cerfontaine","Namur"
5630,"Senzeilles","Oui","Cerfontaine","Namur"
5630,"Silenrieux","Oui","Cerfontaine","Namur"
5630,"Soumoy","Oui","Cerfontaine","Namur"
5630,"Villers-Deux-Eglises","Oui","Cerfontaine","Namur"
1008,"Chambre des Représentants",,"Chambre Des Représentants",
7160,"Chapelle-lez-Herlaimont","Non","Chapelle-Lez-Herlaimont","Hainaut"
7160,"Godarville","Oui","Chapelle-Lez-Herlaimont","Hainaut"
7160,"Piéton","Oui","Chapelle-Lez-Herlaimont","Hainaut"
6000,"Charleroi","Non","Charleroi","Hainaut"
6001,"Marcinelle","Oui","Charleroi","Hainaut"
6010,"Couillet","Oui","Charleroi","Hainaut"
6020,"Dampremy","Oui","Charleroi","Hainaut"
6030,"Goutroux","Oui","Charleroi","Hainaut"
6030,"Marchienne-au-Pont","Oui","Charleroi","Hainaut"
6031,"Monceau-sur-Sambre","Oui","Charleroi","Hainaut"
6032,"Mont-sur-Marchienne","Oui","Charleroi","Hainaut"
6040,"Jumet","Oui","Charleroi","Hainaut"
6041,"Gosselies","Oui","Charleroi","Hainaut"
6042,"Lodelinsart","Oui","Charleroi","Hainaut"
6043,"Ransart","Oui","Charleroi","Hainaut"
6044,"Roux","Oui","Charleroi","Hainaut"
6060,"Gilly","Oui","Charleroi","Hainaut"
6061,"Montignies-sur-Sambre","Oui","Charleroi","Hainaut"
6099,"Charleroi X",,"Charleroi X",
1450,"Chastre-Villeroux-Blanmont","Oui","Chastre","Brabant Wallon"
1450,"Cortil-Noirmont","Oui","Chastre","Brabant Wallon"
1450,"Gentinnes","Oui","Chastre","Brabant Wallon"
